# m[MeV] , R, Q
1.00000e-03, 3, 1.00000e-11
1.00000e-03, 3, 1.38950e-11
1.00000e-03, 3, 1.93070e-11
1.00000e-03, 3, 2.68270e-11
1.00000e-03, 3, 3.72759e-11
1.00000e-03, 3, 5.17947e-11
1.00000e-03, 3, 7.19686e-11
1.00000e-03, 3, 1.00000e-10
1.00000e-03, 3, 1.38950e-10
1.00000e-03, 3, 1.93070e-10
1.00000e-03, 3, 2.68270e-10
1.00000e-03, 3, 3.72759e-10
1.00000e-03, 3, 5.17947e-10
1.00000e-03, 3, 7.19686e-10
1.00000e-03, 3, 1.00000e-09
1.00000e-03, 3, 1.38950e-09
1.00000e-03, 3, 1.93070e-09
1.00000e-03, 3, 2.68270e-09
1.00000e-03, 3, 3.72759e-09
1.00000e-03, 3, 5.17947e-09
1.00000e-03, 3, 7.19686e-09
1.00000e-03, 3, 1.00000e-08
1.00000e-03, 3, 1.38950e-08
1.00000e-03, 3, 1.93070e-08
1.00000e-03, 3, 2.68270e-08
1.00000e-03, 3, 3.72759e-08
1.00000e-03, 3, 5.17947e-08
1.00000e-03, 3, 7.19686e-08
1.00000e-03, 3, 1.00000e-07
1.00000e-03, 3, 1.38950e-07
1.00000e-03, 3, 1.93070e-07
1.00000e-03, 3, 2.68270e-07
1.00000e-03, 3, 3.72759e-07
1.00000e-03, 3, 5.17947e-07
1.00000e-03, 3, 7.19686e-07
1.00000e-03, 3, 1.00000e-06
1.00000e-03, 3, 1.38950e-06
1.00000e-03, 3, 1.93070e-06
1.00000e-03, 3, 2.68270e-06
1.00000e-03, 3, 3.72759e-06
1.00000e-03, 3, 5.17947e-06
1.00000e-03, 3, 7.19686e-06
1.00000e-03, 3, 1.00000e-05
1.00000e-03, 3, 1.38950e-05
1.00000e-03, 3, 1.93070e-05
1.00000e-03, 3, 2.68270e-05
1.00000e-03, 3, 3.72759e-05
1.00000e-03, 3, 5.17947e-05
1.00000e-03, 3, 7.19686e-05
1.00000e-03, 3, 1.00000e-04
1.32571e-03, 3, 1.00000e-11
1.32571e-03, 3, 1.38950e-11
1.32571e-03, 3, 1.93070e-11
1.32571e-03, 3, 2.68270e-11
1.32571e-03, 3, 3.72759e-11
1.32571e-03, 3, 5.17947e-11
1.32571e-03, 3, 7.19686e-11
1.32571e-03, 3, 1.00000e-10
1.32571e-03, 3, 1.38950e-10
1.32571e-03, 3, 1.93070e-10
1.32571e-03, 3, 2.68270e-10
1.32571e-03, 3, 3.72759e-10
1.32571e-03, 3, 5.17947e-10
1.32571e-03, 3, 7.19686e-10
1.32571e-03, 3, 1.00000e-09
1.32571e-03, 3, 1.38950e-09
1.32571e-03, 3, 1.93070e-09
1.32571e-03, 3, 2.68270e-09
1.32571e-03, 3, 3.72759e-09
1.32571e-03, 3, 5.17947e-09
1.32571e-03, 3, 7.19686e-09
1.32571e-03, 3, 1.00000e-08
1.32571e-03, 3, 1.38950e-08
1.32571e-03, 3, 1.93070e-08
1.32571e-03, 3, 2.68270e-08
1.32571e-03, 3, 3.72759e-08
1.32571e-03, 3, 5.17947e-08
1.32571e-03, 3, 7.19686e-08
1.32571e-03, 3, 1.00000e-07
1.32571e-03, 3, 1.38950e-07
1.32571e-03, 3, 1.93070e-07
1.32571e-03, 3, 2.68270e-07
1.32571e-03, 3, 3.72759e-07
1.32571e-03, 3, 5.17947e-07
1.32571e-03, 3, 7.19686e-07
1.32571e-03, 3, 1.00000e-06
1.32571e-03, 3, 1.38950e-06
1.32571e-03, 3, 1.93070e-06
1.32571e-03, 3, 2.68270e-06
1.32571e-03, 3, 3.72759e-06
1.32571e-03, 3, 5.17947e-06
1.32571e-03, 3, 7.19686e-06
1.32571e-03, 3, 1.00000e-05
1.32571e-03, 3, 1.38950e-05
1.32571e-03, 3, 1.93070e-05
1.32571e-03, 3, 2.68270e-05
1.32571e-03, 3, 3.72759e-05
1.32571e-03, 3, 5.17947e-05
1.32571e-03, 3, 7.19686e-05
1.32571e-03, 3, 1.00000e-04
1.75751e-03, 3, 1.00000e-11
1.75751e-03, 3, 1.38950e-11
1.75751e-03, 3, 1.93070e-11
1.75751e-03, 3, 2.68270e-11
1.75751e-03, 3, 3.72759e-11
1.75751e-03, 3, 5.17947e-11
1.75751e-03, 3, 7.19686e-11
1.75751e-03, 3, 1.00000e-10
1.75751e-03, 3, 1.38950e-10
1.75751e-03, 3, 1.93070e-10
1.75751e-03, 3, 2.68270e-10
1.75751e-03, 3, 3.72759e-10
1.75751e-03, 3, 5.17947e-10
1.75751e-03, 3, 7.19686e-10
1.75751e-03, 3, 1.00000e-09
1.75751e-03, 3, 1.38950e-09
1.75751e-03, 3, 1.93070e-09
1.75751e-03, 3, 2.68270e-09
1.75751e-03, 3, 3.72759e-09
1.75751e-03, 3, 5.17947e-09
1.75751e-03, 3, 7.19686e-09
1.75751e-03, 3, 1.00000e-08
1.75751e-03, 3, 1.38950e-08
1.75751e-03, 3, 1.93070e-08
1.75751e-03, 3, 2.68270e-08
1.75751e-03, 3, 3.72759e-08
1.75751e-03, 3, 5.17947e-08
1.75751e-03, 3, 7.19686e-08
1.75751e-03, 3, 1.00000e-07
1.75751e-03, 3, 1.38950e-07
1.75751e-03, 3, 1.93070e-07
1.75751e-03, 3, 2.68270e-07
1.75751e-03, 3, 3.72759e-07
1.75751e-03, 3, 5.17947e-07
1.75751e-03, 3, 7.19686e-07
1.75751e-03, 3, 1.00000e-06
1.75751e-03, 3, 1.38950e-06
1.75751e-03, 3, 1.93070e-06
1.75751e-03, 3, 2.68270e-06
1.75751e-03, 3, 3.72759e-06
1.75751e-03, 3, 5.17947e-06
1.75751e-03, 3, 7.19686e-06
1.75751e-03, 3, 1.00000e-05
1.75751e-03, 3, 1.38950e-05
1.75751e-03, 3, 1.93070e-05
1.75751e-03, 3, 2.68270e-05
1.75751e-03, 3, 3.72759e-05
1.75751e-03, 3, 5.17947e-05
1.75751e-03, 3, 7.19686e-05
1.75751e-03, 3, 1.00000e-04
2.32995e-03, 3, 1.00000e-11
2.32995e-03, 3, 1.38950e-11
2.32995e-03, 3, 1.93070e-11
2.32995e-03, 3, 2.68270e-11
2.32995e-03, 3, 3.72759e-11
2.32995e-03, 3, 5.17947e-11
2.32995e-03, 3, 7.19686e-11
2.32995e-03, 3, 1.00000e-10
2.32995e-03, 3, 1.38950e-10
2.32995e-03, 3, 1.93070e-10
2.32995e-03, 3, 2.68270e-10
2.32995e-03, 3, 3.72759e-10
2.32995e-03, 3, 5.17947e-10
2.32995e-03, 3, 7.19686e-10
2.32995e-03, 3, 1.00000e-09
2.32995e-03, 3, 1.38950e-09
2.32995e-03, 3, 1.93070e-09
2.32995e-03, 3, 2.68270e-09
2.32995e-03, 3, 3.72759e-09
