mass [MeV], T_min [MeV], T_max [MeV]
------------------------------------
1.000e-01, 1.000e-03, 1.000e+02
1.035e-01, 1.035e-03, 1.035e+02
1.072e-01, 1.072e-03, 1.072e+02
1.110e-01, 1.110e-03, 1.110e+02
1.149e-01, 1.149e-03, 1.149e+02
1.190e-01, 1.190e-03, 1.190e+02
1.232e-01, 1.232e-03, 1.232e+02
1.275e-01, 1.275e-03, 1.275e+02
1.320e-01, 1.320e-03, 1.320e+02
1.367e-01, 1.367e-03, 1.367e+02
1.415e-01, 1.415e-03, 1.415e+02
1.465e-01, 1.465e-03, 1.465e+02
1.517e-01, 1.517e-03, 1.517e+02
1.570e-01, 1.570e-03, 1.570e+02
1.626e-01, 1.626e-03, 1.626e+02
1.683e-01, 1.683e-03, 1.683e+02
1.743e-01, 1.743e-03, 1.743e+02
1.804e-01, 1.804e-03, 1.804e+02
1.868e-01, 1.868e-03, 1.868e+02
1.934e-01, 1.934e-03, 1.934e+02
2.002e-01, 2.002e-03, 2.002e+02
2.073e-01, 2.073e-03, 2.073e+02
2.146e-01, 2.146e-03, 2.146e+02
2.222e-01, 2.222e-03, 2.222e+02
2.300e-01, 2.300e-03, 2.300e+02
2.382e-01, 2.382e-03, 2.382e+02
2.466e-01, 2.466e-03, 2.466e+02
2.553e-01, 2.553e-03, 2.553e+02
2.643e-01, 2.643e-03, 2.643e+02
2.736e-01, 2.736e-03, 2.736e+02
2.833e-01, 2.833e-03, 2.833e+02
2.933e-01, 2.933e-03, 2.933e+02
3.037e-01, 3.037e-03, 3.037e+02
3.144e-01, 3.144e-03, 3.144e+02
3.255e-01, 3.255e-03, 3.255e+02
3.370e-01, 3.370e-03, 3.370e+02
3.489e-01, 3.489e-03, 3.489e+02
3.612e-01, 3.612e-03, 3.612e+02
3.740e-01, 3.740e-03, 3.740e+02
3.872e-01, 3.872e-03, 3.872e+02
4.009e-01, 4.009e-03, 4.009e+02
4.150e-01, 4.150e-03, 4.150e+02
4.297e-01, 4.297e-03, 4.297e+02
4.449e-01, 4.449e-03, 4.449e+02
4.606e-01, 4.606e-03, 4.606e+02
